alias,name
Taekyoung Kwon 0001,Ted Taekyoung Kwon
Chongkwon Kim,Chong-kwon Kim
Jinsoo Kim 0001,Jin-Soo Kim 0001
Byung-Ro Moon,Byung Ro Moon
Srinivasa Rao Satti,S. Srinivasa Rao 0001
Heon Y. Yeom,Heon Young Yeom
Frank C. Park 0001,Frank Chongwoo Park
Hyoun Jin Kim,H. Jin Kim
